ID,Username,Data,Reply,Positive,Negative,Neutral,Hate,Offensive,Neither
1,NatGeo,Sat Nov 28 15:16:18 +0000 2020,"' natgeotravel ""in wales, the sheer number of castles is matched only by their variety. ""'",0.08,0.0,0.92,0.05,0.35,0.61
2,NatGeo,Sat Nov 28 15:16:15 +0000 2020,' the planned removal of the klamath river dams may help restore the declining population of chinook salmon ',0.22,0.0,0.78,0.04,0.29,0.67
3,NatGeo,Sat Nov 28 15:16:07 +0000 2020,"' steeped in history, these rugged mountain chains and floral meadows reveal the wild heart of the european continent. http'",0.18,0.0,0.82,0.04,0.26,0.7
4,NatGeo,Sat Nov 28 15:15:51 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
5,NatGeo,Sat Nov 28 15:15:33 +0000 2020,' how do we stop the madness? they have to realize that it affects their lives too. ',0.0,0.24,0.76,0.04,0.4,0.56
6,NatGeo,Sat Nov 28 15:15:03 +0000 2020,"' a photographer returns to her roots and the haunting, stark beauty of the polar landscape. '",0.18,0.1,0.72,0.04,0.39,0.57
7,NatGeo,Sat Nov 28 15:14:51 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
8,NatGeo,Sat Nov 28 15:14:49 +0000 2020,"""after dg, now watching another documentary on the kennedy killing in natgeo.\n\nand i can't forget news anchor walter cronkite's reaction after he announced that the president is dead. \n\n#daddysgurlvloggerbarak\n#mainemendoza | as stacy""",0.04,0.22,0.74,0.06,0.32,0.62
9,NatGeo,Sat Nov 28 15:14:43 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
10,NatGeo,Sat Nov 28 15:14:42 +0000 2020,"' lush forests cover more than half of slovenia, an adriatic enclave of surprising biodiversity. '",0.12,0.0,0.88,0.04,0.33,0.63
11,NatGeo,Sat Nov 28 15:14:00 +0000 2020,""" wildlife lovers can swim alongside dominica's resident sperm whales, but only with an accredited tour operator that follo""",0.11,0.0,0.89,0.03,0.37,0.6
12,NatGeo,Sat Nov 28 15:13:49 +0000 2020,'my royal python is super nice and definitely likes hanging out with people. ',0.55,0.0,0.45,0.04,0.41,0.55
13,NatGeo,Sat Nov 28 15:13:48 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
14,NatGeo,Sat Nov 28 15:13:43 +0000 2020,"' author and journalist jan morris, who died last week at 94, embraced wales as her physical, intellectual, and spiritual f'",0.13,0.14,0.73,0.03,0.43,0.54
15,NatGeo,Sat Nov 28 15:12:45 +0000 2020,"' : spinosaurus is a weird, weird dinosaur, and its bizarre tail reinforces just how weird it is. along with other'",0.0,0.3,0.7,0.04,0.34,0.63
16,NatGeo,Sat Nov 28 15:12:41 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
17,NatGeo,Sat Nov 28 15:12:31 +0000 2020,"'natgeo has sent a grumpy old man on assignment to take some pictures of old bridges, what happens next may be the biggest surprise of our tournament. this tuesday! '",0.08,0.0,0.92,0.05,0.35,0.61
18,NatGeo,Sat Nov 28 15:11:59 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
19,NatGeo,Sat Nov 28 15:11:56 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
20,NatGeo,Sat Nov 28 15:11:06 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
21,NatGeo,Sat Nov 28 15:10:43 +0000 2020,"' la antrtida ser un buen lugar para vivir a futuro, ah avisan por favor cuando vendan terrenos.'",0.14,0.0,0.86,0.04,0.33,0.63
22,NatGeo,Sat Nov 28 15:10:40 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
23,NatGeo,Sat Nov 28 15:10:38 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
24,NatGeo,Sat Nov 28 15:10:28 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
25,NatGeo,Sat Nov 28 15:09:25 +0000 2020,"' not only are our closest animal kin more susceptible due to genetics, like us their highly social behavior also puts them in pe'",0.1,0.0,0.9,0.09,0.31,0.61
26,NatGeo,Sat Nov 28 15:09:23 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
27,NatGeo,Sat Nov 28 15:09:09 +0000 2020,"' author and journalist jan morris, who died last week at 94, embraced wales as her physical, intellectual, and spiritual f'",0.13,0.14,0.73,0.03,0.43,0.54
28,NatGeo,Sat Nov 28 15:08:15 +0000 2020,"' not only are our closest animal kin more susceptible due to genetics, like us their highly social behavior also puts them in pe'",0.1,0.0,0.9,0.09,0.31,0.61
29,NatGeo,Sat Nov 28 15:07:12 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
30,NatGeo,Sat Nov 28 15:07:00 +0000 2020,"' ""in the iroquois eyes, its about equality, inclusion, respect, and the expansion of what it means to be a nation in the olymp'",0.12,0.0,0.88,0.04,0.28,0.68
31,NatGeo,Sat Nov 28 15:06:47 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
32,NatGeo,Sat Nov 28 15:06:45 +0000 2020,"' not only are our closest animal kin more susceptible due to genetics, like us their highly social behavior also puts them in pe'",0.1,0.0,0.9,0.09,0.31,0.61
33,NatGeo,Sat Nov 28 15:06:34 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
34,NatGeo,Sat Nov 28 15:06:29 +0000 2020,' more super cool #alpinenewt stuff ',0.57,0.0,0.42,0.04,0.32,0.64
35,NatGeo,Sat Nov 28 15:06:20 +0000 2020,"'natgeotravel ""in wales, the sheer number of castles is matched only by their variety. ""'",0.09,0.0,0.92,0.05,0.35,0.61
36,NatGeo,Sat Nov 28 15:06:17 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
37,NatGeo,Sat Nov 28 15:04:19 +0000 2020,'more super cool #alpinenewt stuff ',0.63,0.0,0.37,0.04,0.32,0.64
38,NatGeo,Sat Nov 28 15:04:01 +0000 2020,""" actually, it's going to be great when the #humans annihilate themselves and #earth can be turned back to #insects #animals and #nature""",0.16,0.0,0.84,0.04,0.31,0.65
39,NatGeo,Sat Nov 28 15:03:50 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
40,NatGeo,Sat Nov 28 15:03:33 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
41,NatGeo,Sat Nov 28 15:03:31 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
42,NatGeo,Sat Nov 28 15:02:57 +0000 2020,"'sobat, lagi nonton national geographic film dokumenter killing kennedy.'",0.0,0.35,0.65,0.04,0.33,0.63
43,NatGeo,Sat Nov 28 15:02:55 +0000 2020,' new article: uk establishes atlantics biggest marine sanctuary to protect millions of animals ',0.16,0.0,0.84,0.05,0.28,0.68
44,NatGeo,Sat Nov 28 15:02:31 +0000 2020,"' ""we shouldnt be surprised by the continuing emergence of new diseasessome with pandemic potentialif humanity continues with'",0.0,0.09,0.91,0.03,0.34,0.63
45,NatGeo,Sat Nov 28 15:02:24 +0000 2020,"'dari natgeo smpe the crown gak kebayang si gimana stresnya,bulimianya lady diana. how poor she is with beautiful wedding actually her nightmare '",0.14,0.11,0.75,0.03,0.47,0.49
46,NatGeo,Sat Nov 28 15:02:20 +0000 2020,"' natgeotravel: in wales, the sheer number of castles is matched only by their variety. '",0.08,0.0,0.92,0.05,0.35,0.61
47,NatGeo,Sat Nov 28 15:01:55 +0000 2020,"' ""dear future generations, i hope we will be able to see the arctic wildlife as we do now,"" writes your shot photographer floria'",0.2,0.0,0.8,0.07,0.28,0.65
48,NatGeo,Sat Nov 28 15:01:53 +0000 2020,"' ""in the iroquois eyes, its about equality, inclusion, respect, and the expansion of what it means to be a nation in the olymp'",0.12,0.0,0.88,0.04,0.28,0.68
49,NatGeo,Sat Nov 28 15:01:33 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
50,NatGeo,Sat Nov 28 15:00:57 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
51,NatGeo,Sat Nov 28 15:00:49 +0000 2020,'join the exploration to our future home. \n\nwatch the fox+ futuristic docu-series mars on viu premium. subscribe now. \n\n#nowonviu #nationalgeographic #natgeo #mars #viupinoy ',0.16,0.0,0.84,0.04,0.32,0.64
52,NatGeo,Sat Nov 28 15:00:49 +0000 2020,'join the exploration to our future home. \n\nwatch the fox+ futuristic docu-series mars on viu premium. subscribe now. \n\n#nowonviu #nationalgeographic #natgeo #mars #viudesi ',0.16,0.0,0.84,0.04,0.32,0.64
53,NatGeo,Sat Nov 28 15:00:38 +0000 2020,"' in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.92,0.05,0.35,0.61
54,NatGeo,Sat Nov 28 15:00:11 +0000 2020,"'in wales, the sheer number of castles is matched only by their variety. '",0.09,0.0,0.91,0.05,0.35,0.61
55,NatGeo,Sat Nov 28 15:00:05 +0000 2020,' set them free back in their ancestral environment!',0.31,0.0,0.69,0.05,0.32,0.63
56,NatGeo,Sat Nov 28 14:59:41 +0000 2020,"' not only are our closest animal kin more susceptible due to genetics, like us their highly social behavior also puts them in pe'",0.1,0.0,0.9,0.09,0.31,0.61
57,NatGeo,Sat Nov 28 14:59:01 +0000 2020,'acabei de descobrir que a natgeo t no disney plus. agora que no saiu da tv mesmoooo',0.0,0.23,0.77,0.05,0.39,0.55
